id,model_state,date_created,date_modified,date_deleted,name,address,locality,lat,lng,active
30,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EL MUNDO DEL JUGUETE,"LAS MAGNOLIAS 754 - LAS PALMAS,BUENOS AIRES,PILAR",GBA,-34.4462858,-58.8704582,1
31,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EL MUNDO DEL JUGUETE,"ALVEAR 49,BUENOS AIRES,MARTINEZ",GBA,-34.489272,-58.4998486,1
32,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EL MUNDO DEL JUGUETE,"AV. ACCESO ESTE 3280,MENDOZA,MENDOZA",INT,-32.9009692,-68.7993948,1
33,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EL MUNDO DEL JUGUETE,"CALLE 47 NRO. 611/3/5,BUENOS AIRES,LA PLATA",GBA,-34.9131755,-57.9525428,1
34,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EL MUNDO DEL JUGUETE,"RTA PCIAL N 251710 Y COL OESTE,BUENOS AIRES,ESCOBAR",GBA,-34.345965,-58.7953449,1
35,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EL MUNDO DEL JUGUETE,"AV. H. YRIGUYEN Y RUTA PROV 7,CHUBUT,TRELEW",INT,-34.6603867,-58.6210408,1
36,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EL MUNDO DEL JUGUETE,"AV. OLIVOS 4100 LOCAL 115,BUENOS AIRES,MALVINAS ARGENTINAS",GBA,-34.4501436,-58.7251348,1
37,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EL MUNDO DEL JUGUETE,"FLORIDA 356,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.6033,-58.37453,1
38,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"25 DE MAYO 346 - LOCAL B,TUCUMAN,SAN MIGUEL DE TUCUMAN",INT,-26.8118673,-65.200211,1
39,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"PELAGIO LUNA 684 LOC. 13,LA RIOJA,LA RIOJA",INT,-29.4124652,-66.8577601,1
40,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"SANTA FE 300,CHACO,RESISTENCIA",INT,-27.4472541,-58.9872219,1
41,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"AV. CORDOBA 429,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.5983308,-58.3732397,1
42,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"ELIAS YOFRE 1050 LOCAL 3,CORDOBA,CORDOBA",INT,-31.4506379,-64.180409,1
43,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"PELLEGRINI 583,CHACO,ROQUE SAENZ PEÑA",INT,-26.7900577,-60.4426964,1
44,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"VELEZ SARSFIELD 365,CORDOBA,RIO TERCERO",INT,-32.1722029,-64.1145768,1
45,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"ALVEAR 72,BUENOS AIRES,CHIVILCOY",GBA,-34.8969795,-60.0190731,1
46,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"LAS MAGNOLIAS 754 LOC. 1186,BUENOS AIRES,PILAR",GBA,-34.4462858,-58.8704582,1
47,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"CALLE 24 N 387 ENTRE 17 Y 15,BUENOS AIRES,MERCEDES",GBA,-34.6510201,-59.4305996,1
48,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"9 DE JULIO 28,BUENOS AIRES,SAN NICOLAS",GBA,-34.60405,-58.3811068,1
49,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"SAN MARTIN 236,BUENOS AIRES,TRENQUE LAUQUEN",GBA,-35.9699706,-62.7337971,1
50,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"9 DE JULIO 162,CORDOBA,VILLA MARIA",INT,-32.4104614,-63.243645,1
51,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"RIOJA 1798,SANTA FE,ROSARIO",INT,-32.945779,-60.648027,1
52,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"GALO LAVALLE 734,BUENOS AIRES,TEMPERLEY",GBA,-34.7678337,-58.3792534,1
53,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"DIRECCION CANTILO 84 ESQ. 8 13,BUENOS AIRES,CITY BELL",GBA,-34.6036844,-58.3815591,1
54,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"SARMIENTO 111,SANTA CRUZ,RIO GALLEGOS",INT,-51.6230485,-69.2168291,1
55,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"SAN MARTIN 414,CATAMARCA,SAN FERNANDO DEL VALLE DE CATAMARCA",INT,-28.4696549,-65.7809487,1
56,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"SCALABRINI ORTIZ 3176,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.580112,-58.4101073,1
57,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"PARANA 3745,BUENOS AIRES,MARTINEZ",GBA,-34.5086233,-58.52321,1
58,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"GANDINI 36,BUENOS AIRES,JUNIN",GBA,-34.5920146,-60.9461431,1
59,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"ROCA 22,RIO NEGRO,CIPOLLETTI",GBA,-38.9379949,-68.0012207,1
60,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"FORMOSA 653 - LOCAL 1140,BUENOS AIRES,CANNING",GBA,-34.871276,-58.5111163,1
61,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"CALLE 50 488 ENTRE 4 Y 5,BUENOS AIRES,LA PLATA",GBA,-34.9204948,-57.9535657,1
62,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"CALLE 18 N 502,LA PAMPA,GENERAL PICO",INT,-35.6510128,-63.7655339,1
